Co_Ref,Time_to_Renewal,crm_accreditation_completed,crm_timely_completion,crm_progress_towards_accreditation,crm_delays_in_accreditation,crm_contractor_suggested_leave,crm_contractor_engagement,crm_contractor_sentiment,crm_contractor_sentiment_score,crm_dts_or_ssip_mentioned,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_level,crm_platform_issues_raised,crm_agent_chased_contractor,crm_agent_chase_count,crm_accreditation_issues,crm_membership_overdue,crm_auto_renewal_status,crm_dissatisified_with_renewal_price,crm_customer_complained,crm_refund_mentioned,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,year
ys0575,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,yes,neutral,50,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,2,not discussed,no,yes,yes,no,not discussed,2026
pz7980,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,neutral,50,yes,yes,no,accredited,no,no,0,not discussed,not discussed,0,yes,no,no,yes,no,no,2025
gq6901,45_out,no,not discussed,yes,no,no,yes,neutral,50,no,yes,no,in progress,no,yes,1,not discussed,no,0,not discussed,no,no,yes,no,no,2025
pi2439,45_out,no,not discussed,yes,no,not discussed,yes,dissatisfied,40,yes,not discussed,yes,accredited,no,yes,2,not discussed,not discussed,0,yes,no,no,yes,no,no,2025
rx6658,45_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,accredited,yes,yes,1,not discussed,no,0,not discussed,no,no,yes,no,no,2025
ev3840,14_out,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,not discussed,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,no,no,2025
ld2957,prior_year,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,not discussed,no,accredited,no,yes,2,not discussed,not discussed,0,yes,no,no,yes,no,no,2025
qr6477,14_out,not discussed,not discussed,not discussed,no,not discussed,yes,dissatisfied,30,yes,not discussed,no,accredited,no,no,0,not discussed,not discussed,0,yes,no,no,yes,no,no,2025
vf8467,45_out,not discussed,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,accredited,no,no,0,not discussed,no,0,no,no,no,yes,no,no,2025
cp1329,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,40,no,yes,no,accredited,no,yes,1,not discussed,yes,0,yes,no,no,yes,no,no,2025
lu6343,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,yes,dissatisfied,40,yes,not discussed,no,accredited,no,yes,1,not discussed,yes,0,yes,no,no,yes,no,no,2025
nx9914,45_out,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,20,no,not discussed,yes,accredited,no,no,0,not discussed,no,0,yes,no,no,yes,no,no,2025
sx7731,14_out,yes,not discussed,not discussed,no,no,yes,dissatisfied,40,no,not discussed,no,accredited,no,no,0,not discussed,yes,0,yes,no,no,yes,no,no,2025
sv9367,pre_renewal,yes,not discussed,not discussed,no,no,yes,neutral,50,yes,not discussed,no,accredited,no,yes,3,not discussed,no,0,yes,no,no,yes,no,no,2026
ny6807,45_out,not discussed,not discussed,not discussed,no,not discussed,yes,dissatisfied,30,yes,not discussed,no,accredited,no,no,0,not discussed,not discussed,0,yes,no,no,yes,no,no,2025
uu4020,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,40,yes,not discussed,no,not discussed,no,yes,1,not discussed,not discussed,0,yes,no,no,yes,no,no,2025
za7963,14_out,not discussed,not discussed,not discussed,no,not discussed,yes,dissatisfied,40,yes,not discussed,no,accredited,no,no,0,not discussed,no,0,yes,no,no,yes,no,no,2025
wi3451,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,no,no,2025
ki8024,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,no,no,not discussed,not discussed,yes,1,not discussed,yes,0,not discussed,no,no,yes,no,no,2025
oe1506,pre_renewal,not discussed,not discussed,not discussed,no,no,no,not discussed,not discussed,yes,not discussed,no,not discussed,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,no,no,2025
ne1746,14_out,no,not discussed,not discussed,yes,no,no,not discussed,not discussed,no,not discussed,no,accredited,no,yes,2,not discussed,no,0,not discussed,no,no,yes,no,no,2025
xn3294,45_out,no,not discussed,no,yes,no,no,not discussed,not discussed,no,not discussed,no,accredited,no,yes,1,not discussed,no,0,no,no,no,yes,no,no,2026
tr2997,45_out,no,no,yes,yes,no,yes,neutral,50,yes,yes,no,in progress,no,yes,4,not discussed,not discussed,0,yes,no,no,yes,no,no,2025
my7106,prior_year,no,no,no,yes,no,no,not discussed,not discussed,no,yes,no,in progress,no,yes,3,not discussed,not discussed,0,no,no,no,yes,no,no,2025
vd1016,14_out,no,not discussed,yes,yes,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,no,no,2025
pg4284,45_out,yes,no,yes,yes,no,yes,neutral,50,yes,not discussed,no,accredited,no,yes,2,no,no,0,no,no,no,yes,yes,no,2025
yi6458,pre_renewal,no,no,not discussed,yes,no,no,not discussed,not discussed,no,not discussed,not discussed,in progress,not discussed,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,yes,no,2025
tp7967,prior_year,no,no,no,yes,no,yes,neutral,50,no,not discussed,no,in progress,no,yes,3,not discussed,no,0,no,no,no,yes,"indicating a negative experience due to personal or health issues.""",no,2025
zm9311,pre_renewal,yes,not discussed,not discussed,no,no,yes,dissatisfied,40,no,yes,no,accredited,yes,no,0,not discussed,no,0,no,no,no,yes,yes,no,2025
au5073,pre_renewal,no,no,yes,yes,no,yes,dissatisfied,40,yes,yes,no,accredited,no,yes,2,not discussed,yes,0,yes,no,no,yes,yes,no,2026
qr5542,prior_year,no,not discussed,not discussed,yes,no,no,not discussed,not discussed,no,yes,no,in progress,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,""""" which may impact their eligibility for projects.""",no,2025
cl8865,45_out,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,30,yes,yes,yes,accredited,yes,no,0,not discussed,not discussed,0,yes,no,no,yes,yes,no,2025
cn6731,14_out,yes,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,accredited,no,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,yes,no,2025
oc8517,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,accredited,yes,no,0,not discussed,not discussed,0,not discussed,no,no,yes,invalid address,"city is required"""" message.""",2025
mh1712,14_out,not discussed,not discussed,not discussed,no,not discussed,yes,neutral,50,yes,not discussed,no,accredited,yes,no,0,not discussed,not discussed,0,yes,no,no,yes,yes,no,2025
ub3891,pre_renewal,not discussed,not discussed,yes,no,no,yes,neutral,50,no,yes,no,not discussed,no,no,0,not discussed,no,0,not discussed,no,no,yes,yes,no,2025
uk7542,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,20,no,yes,no,not discussed,yes,no,0,not discussed,yes,0,not discussed,no,no,yes,yes,no,2025
it7422,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,30,yes,yes,no,accredited,no,yes,1,not discussed,yes,0,no,no,no,yes,"which led to a last-minute and urgent request to resolve the payment.""",yes,2025
lp4359,prior_year,yes,no,yes,yes,no,yes,neutral,50,no,yes,no,accredited,no,yes,3,not discussed,yes,0,no,no,no,yes,yes,yes,2025
ps0030,45_out,no,not discussed,not discussed,yes,no,yes,neutral,50,yes,not discussed,no,accredited,no,yes,4,not discussed,yes,0,yes,no,no,yes,yes,yes,2025
dq7465,14_out,no,not discussed,yes,no,no,yes,neutral,50,no,not discussed,no,accredited,not discussed,yes,1,not discussed,no,0,yes,no,no,yes,yes,yes,2025
id6919,14_out,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,20,no,not discussed,no,accredited,yes,no,0,not discussed,no,0,yes,no,no,yes,yes,yes,2026
zb4258,prior_year,no,no,no,yes,not discussed,yes,neutral,50,no,yes,no,accredited,no,yes,7,not discussed,yes,0,yes,no,no,yes,yes,yes,2025
il3220,prior_year,no,no,yes,yes,no,yes,neutral,50,yes,yes,no,accredited,no,yes,9,not discussed,yes,0,yes,no,no,yes,yes,yes,2025
tu4738,14_out,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,20,yes,not discussed,no,accredited,no,no,0,not discussed,no,0,yes,no,no,yes,yes,yes,2025
ue6993,prior_year,yes,yes,yes,no,no,yes,neutral,50,yes,yes,no,accredited,no,yes,1,not discussed,yes,0,yes,no,no,yes,yes,yes,2025
zb8005,14_out,yes,not discussed,not discussed,no,no,yes,satisfied,80,no,yes,no,accredited,no,no,0,not discussed,no,0,not discussed,no,no,yes,yes,yes,2026
ij7206,prior_year,no,no,yes,yes,no,yes,neutral,50,no,yes,no,accredited,no,yes,9,not discussed,yes,0,yes,no,no,yes,yes,yes,2025
mr5388,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,40,yes,not discussed,no,accredited,yes,yes,3,not discussed,yes,0,yes,no,no,yes,yes,yes,2025
wu9480,14_out,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,40,yes,not discussed,yes,accredited,no,no,0,not discussed,not discussed,0,yes,no,no,yes,yes,yes,2025
cg3620,45_out,not discussed,not discussed,not discussed,no,not discussed,yes,neutral,50,yes,yes,yes,accredited,no,no,0,not discussed,not discussed,0,yes,no,no,yes,yes,yes,2025
he1438,45_out,yes,yes,yes,no,no,yes,dissatisfied,40,yes,not discussed,yes,accredited,yes,yes,2,not discussed,not discussed,0,yes,no,no,yes,yes,yes,2025
ju4562,prior_year,no,no,no,yes,yes,yes,dissatisfied,20,yes,yes,no,accredited,no,yes,6,not discussed,yes,0,no,no,no,yes,yes,yes,2025
cn8899,45_out,not discussed,not discussed,yes,no,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,accredited,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,yes,yes,2025
wp7827,pre_renewal,not discussed,not discussed,not discussed,yes,no,no,not discussed,not discussed,no,not discussed,no,accredited,no,no,0,not discussed,not discussed,0,no,no,no,yes,yes,yes,2025
co7881,14_out,no,not discussed,yes,no,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,1,not discussed,no,0,yes,no,no,yes,yes,yes,2025
oz6540,14_out,not discussed,not discussed,not discussed,yes,no,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,yes,yes,2025
yx9724,prior_year,no,not discussed,no,no,no,no,not discussed,not discussed,no,not discussed,no,in progress,no,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,yes,yes,2026
bd7858,45_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,yes,yes,2025
me1003,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,yes,yes,2025
dp2625,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,not discussed,yes,yes,3,not discussed,not discussed,0,yes,no,no,yes,yes,yes,2025
rb6415,45_out,no,no,yes,yes,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,2,not discussed,no,0,yes,no,no,yes,yes,yes,2025
sb3340,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,40,no,not discussed,no,not discussed,no,yes,1,not discussed,yes,0,yes,no,no,yes,yes,yes,2025
la1856,14_out,not discussed,not discussed,yes,no,no,yes,satisfied,100,no,not discussed,no,not discussed,no,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
dm5622,prior_year,no,no,yes,yes,no,yes,satisfied,80,yes,yes,no,accredited,no,yes,3,not discussed,not discussed,0,yes,no,no,yes,not discussed,yes,2025
hi2015,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,20,no,no,no,not discussed,no,yes,1,not discussed,yes,0,no,no,no,yes,not discussed,yes,2026
yd4355,14_out,not discussed,not discussed,not discussed,no,no,yes,satisfied,100,no,yes,no,accredited,no,no,0,no,no,0,no,no,no,yes,not discussed,yes,2025
ls7557,pre_renewal,not discussed,not discussed,not discussed,yes,no,yes,dissatisfied,20,no,no,no,not discussed,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
ko6825,14_out,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,30,no,not discussed,no,not discussed,no,no,0,not discussed,no,0,yes,no,no,yes,not discussed,yes,2025
rl8707,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,40,no,not discussed,no,not discussed,no,no,0,not discussed,not discussed,0,yes,no,no,yes,not discussed,yes,2025
vp1463,prior_year,yes,yes,not discussed,yes,no,yes,dissatisfied,40,no,yes,no,accredited,no,yes,4,not discussed,yes,0,no,no,no,yes,not discussed,yes,2025
pm5813,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,dissatisfied,40,yes,not discussed,no,accredited,no,no,0,not discussed,no,0,yes,no,no,yes,not discussed,yes,2025
cq5222,pre_renewal,yes,not discussed,not discussed,no,no,yes,dissatisfied,30,no,yes,no,accredited,no,yes,1,not discussed,no,0,yes,no,no,yes,not discussed,yes,2026
wm0013,pre_renewal,yes,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,accredited,not discussed,yes,1,not discussed,yes,0,yes,no,no,yes,not discussed,yes,2025
au0410,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,not discussed,no,yes,1,not discussed,no,0,yes,no,no,yes,not discussed,yes,2025
qz1925,prior_year,not discussed,not discussed,not discussed,yes,no,yes,neutral,50,no,no,no,accredited,no,yes,5,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
yr7955,pre_renewal,no,not discussed,no,yes,no,yes,neutral,50,no,not discussed,no,in progress,no,no,0,not discussed,not discussed,0,yes,no,no,yes,not discussed,yes,2025
ct0279,prior_year,no,no,yes,yes,no,yes,neutral,50,yes,not discussed,no,in progress,no,yes,7,not discussed,not discussed,0,no,no,no,yes,not discussed,yes,2025
sj7759,14_out,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,not discussed,no,not discussed,no,no,0,not discussed,not discussed,0,no,no,no,yes,not discussed,yes,2025
sg6675,prior_year,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,not discussed,yes,not discussed,no,yes,3,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
pi0651,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,yes,neutral,50,yes,not discussed,no,accredited,no,yes,3,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
sj6943,pre_renewal,not discussed,not discussed,not discussed,not discussed,no,yes,neutral,50,no,yes,no,not discussed,no,no,0,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
wh1328,pre_renewal,not discussed,not discussed,not discussed,not discussed,not discussed,yes,neutral,50,no,yes,no,not discussed,no,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
fg5752,pre_renewal,not discussed,not discussed,not discussed,no,no,yes,neutral,50,no,yes,no,accredited,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
kg5766,prior_year,no,no,yes,yes,no,yes,neutral,50,no,yes,no,in progress,no,yes,4,not discussed,yes,0,no,no,no,yes,not discussed,yes,2025
qa6710,prior_year,no,no,no,yes,no,yes,neutral,50,yes,yes,no,accredited,no,yes,5,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
rk1595,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
zf6090,45_out,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
cw2231,14_out,not discussed,not discussed,not discussed,yes,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
dx9231,pre_renewal,not discussed,not discussed,not discussed,yes,not discussed,no,not discussed,not discussed,no,no,no,not discussed,not discussed,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
kh9181,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
ha3322,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
yb8677,prior_year,not discussed,not discussed,not discussed,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2026
zs2692,14_out,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,yes,2,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
ic5614,14_out,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
jh2045,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
xv3030,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
ys2338,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,yes,1,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
zt2165,14_out,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
ku3716,45_out,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,yes,1,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
bb9666,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,yes,2,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
oi6842,pre_renewal,no,not discussed,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
ga1869,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
oi1690,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,no,no,not discussed,no,yes,3,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
sj9858,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
zz3175,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,no,no,not discussed,no,yes,2,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
rb1299,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,no,0,not discussed,no,0,no,no,no,yes,not discussed,yes,2025
wf9826,pre_renewal,no,not discussed,not discussed,no,no,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
dz7118,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
ir2705,pre_renewal,not discussed,not discussed,not discussed,no,no,no,not discussed,not discussed,no,yes,no,not discussed,no,yes,2,not discussed,yes,0,no,no,no,yes,not discussed,yes,2025
iz4764,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
wk2438,pre_renewal,not discussed,not discussed,not discussed,no,no,no,not discussed,not discussed,no,not discussed,no,not discussed,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
la1826,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
vq5429,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,yes,1,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
nq3635,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
of9263,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
on9900,14_out,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,yes,not discussed,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2026
lq5508,pre_renewal,not discussed,not discussed,not discussed,not discussed,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,yes,2,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
cp9497,pre_renewal,not discussed,not discussed,not discussed,not discussed,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
vj6726,pre_renewal,not discussed,not discussed,not discussed,not discussed,not discussed,no,not discussed,not discussed,no,no,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
ay9976,14_out,not discussed,not discussed,not discussed,not discussed,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
hj7372,14_out,no,not discussed,not discussed,not discussed,not discussed,no,not discussed,not discussed,no,no,no,not discussed,no,no,0,not discussed,no,0,not discussed,no,no,yes,not discussed,yes,2025
qf7122,14_out,not discussed,not discussed,not discussed,not discussed,not discussed,no,not discussed,not discussed,no,not discussed,no,not discussed,no,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
ie8879,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,no,no,accredited,no,yes,2,not discussed,yes,0,no,no,no,yes,not discussed,yes,2025
zc8314,prior_year,no,no,no,yes,not discussed,no,not discussed,not discussed,no,not discussed,no,accredited,no,yes,5,not discussed,yes,0,yes,no,no,yes,not discussed,yes,2025
hg7967,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,no,no,accredited,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
mg5118,pre_renewal,not discussed,not discussed,not discussed,no,not discussed,no,not discussed,not discussed,no,not discussed,no,accredited,not discussed,no,0,not discussed,not discussed,0,not discussed,no,no,yes,not discussed,yes,2025
nb3226,pre_renewal,not discussed,not discussed,not discussed,yes,not discussed,no,not discussed,not discussed,yes,no,no,accredited,no,yes,1,not discussed,yes,0,not discussed,no,no,yes,not discussed,yes,2025
xv3033,14_out,no,not discussed,not discussed,no,no,no,not discussed,not discussed,no,not discussed,no,accredited,no,yes,1,not discussed,no,0,not discussed,no,no,yes,not discussed,yes,2025
