Co_Ref,Time_to_Renewal,crm_accreditation_completed,crm_timely_completion,crm_progress_towards_accreditation,crm_delays_in_accreditation,crm_contractor_suggested_leave,crm_contractor_engagement,crm_contractor_sentiment,crm_contractor_sentiment_score,crm_dts_or_ssip_mentioned,crm_customer_payment_intention,crm_competitors_mentioned,crm_membership_level,crm_platform_issues_raised,crm_agent_chased_contractor,crm_agent_chase_count,crm_accreditation_issues,crm_membership_overdue,crm_auto_renewal_status,crm_dissatisified_with_renewal_price,crm_customer_complained,crm_refund_mentioned,crm_negative_customer_experience,crm_dissatisfaction_with_support,crm_financial_hardship_mentioned,year
YK0304,prior_year,No,No,Not Discussed,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,In progress,No,Yes,3,Not Discussed,Yes,0,Not Discussed,No,Yes,Yes,No,Not Discussed,2025
HV0411,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Satisfied,80,No,Yes,No,Not Discussed,No,Yes,1,Not Discussed,Yes,0,No,No,Yes,Yes,No,Not Discussed,2026
RT3992,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Satisfied,80,No,Not Discussed,No,Not Discussed,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,Yes,Yes,No,Not Discussed,2025
YS0575,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Neutral,50,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,2,Not Discussed,No,Yes,Yes,No,Not Discussed,2026
PZ7980,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,Yes,Yes,No,Accredited,No,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,No,No,2025
GQ6901,45_out,No,Not Discussed,Yes,No,No,Yes,Neutral,50,No,Yes,No,In progress,No,Yes,1,Not Discussed,No,0,Not Discussed,No,No,Yes,No,No,2025
PI2439,45_out,No,Not Discussed,Yes,No,Not Discussed,Yes,Dissatisfied,40,Yes,Not Discussed,Yes,Accredited,No,Yes,2,Not Discussed,Not Discussed,0,Yes,No,No,Yes,No,No,2025
RX6658,45_out,No,Not Discussed,Yes,No,No,Yes,Neutral,50,Yes,Not Discussed,No,Accredited,Yes,Yes,1,Not Discussed,No,0,Not Discussed,No,No,Yes,No,No,2025
EV3840,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Not Discussed,No,Yes,1,Not Discussed,Yes,0,Not Discussed,No,No,Yes,No,No,2025
LD2957,prior_year,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Not Discussed,No,Accredited,No,Yes,2,Not Discussed,Not Discussed,0,Yes,No,No,Yes,No,No,2025
QR6477,14_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Dissatisfied,30,Yes,Not Discussed,No,Accredited,No,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,No,No,2025
VF8467,45_out,Not Discussed,Not Discussed,Yes,No,No,Yes,Neutral,50,Yes,Not Discussed,No,Accredited,No,No,0,Not Discussed,No,0,No,No,No,Yes,No,No,2025
CP1329,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,No,Yes,No,Accredited,No,Yes,1,Not Discussed,Yes,0,Yes,No,No,Yes,No,No,2025
LU6343,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Dissatisfied,40,Yes,Not Discussed,No,Accredited,No,Yes,1,Not Discussed,Yes,0,Yes,No,No,Yes,No,No,2025
NX9914,45_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,20,No,Not Discussed,Yes,Accredited,No,No,0,Not Discussed,No,0,Yes,No,No,Yes,No,No,2025
SX7731,14_out,Yes,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,No,Not Discussed,No,Accredited,No,No,0,Not Discussed,Yes,0,Yes,No,No,Yes,No,No,2025
SV9367,pre_renewal,Yes,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,Yes,Not Discussed,No,Accredited,No,Yes,3,Not Discussed,No,0,Yes,No,No,Yes,No,No,2026
NY6807,45_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Dissatisfied,30,Yes,Not Discussed,No,Accredited,No,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,No,No,2025
UU4020,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,Yes,Not Discussed,No,Not Discussed,No,Yes,1,Not Discussed,Not Discussed,0,Yes,No,No,Yes,No,No,2025
ZA7963,14_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Dissatisfied,40,Yes,Not Discussed,No,Accredited,No,No,0,Not Discussed,No,0,Yes,No,No,Yes,No,No,2025
WI3451,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,No,No,2025
KI8024,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,No,No,Not Discussed,Not Discussed,Yes,1,Not Discussed,Yes,0,Not Discussed,No,No,Yes,No,No,2025
OE1506,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,No,Not Discussed,Not Discussed,Yes,Not Discussed,No,Not Discussed,No,Yes,1,Not Discussed,Yes,0,Not Discussed,No,No,Yes,No,No,2025
NE1746,14_out,No,Not Discussed,Not Discussed,Yes,No,No,Not Discussed,Not Discussed,No,Not Discussed,No,Accredited,No,Yes,2,Not Discussed,No,0,Not Discussed,No,No,Yes,No,No,2025
XN3294,45_out,No,Not Discussed,No,Yes,No,No,Not Discussed,Not Discussed,No,Not Discussed,No,Accredited,No,Yes,1,Not Discussed,No,0,No,No,No,Yes,No,No,2026
TR2997,45_out,No,No,Yes,Yes,No,Yes,Neutral,50,Yes,Yes,No,In progress,No,Yes,4,Not Discussed,Not Discussed,0,Yes,No,No,Yes,No,No,2025
MY7106,prior_year,No,No,No,Yes,No,No,Not Discussed,Not Discussed,No,Yes,No,In progress,No,Yes,3,Not Discussed,Not Discussed,0,No,No,No,Yes,No,No,2025
VD1016,14_out,No,Not Discussed,Yes,Yes,No,Yes,Neutral,50,No,Not Discussed,No,In progress,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,No,No,2025
PG4284,45_out,Yes,No,Yes,Yes,No,Yes,Neutral,50,Yes,Not Discussed,No,Accredited,No,Yes,2,No,No,0,No,No,No,Yes,Yes,No,2025
YI6458,pre_renewal,No,No,Not Discussed,Yes,No,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,In progress,Not Discussed,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Yes,No,2025
TP7967,prior_year,No,No,No,Yes,No,Yes,Neutral,50,No,Not Discussed,No,In progress,No,Yes,3,Not Discussed,No,0,No,No,No,Yes," indicating a negative experience due to personal or health issues.""",No,2025
ZM9311,pre_renewal,Yes,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,No,Yes,No,Accredited,Yes,No,0,Not Discussed,No,0,No,No,No,Yes,Yes,No,2025
AU5073,pre_renewal,No,No,Yes,Yes,No,Yes,Dissatisfied,40,Yes,Yes,No,Accredited,No,Yes,2,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,No,2026
QR5542,prior_year,No,Not Discussed,Not Discussed,Yes,No,No,Not Discussed,Not Discussed,No,Yes,No,In progress,No,Yes,1,Not Discussed,Yes,0,Not Discussed,No,No,Yes,""""" which may impact their eligibility for projects.""",No,2025
CL8865,45_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,30,Yes,Yes,Yes,Accredited,Yes,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Yes,No,2025
CN6731,14_out,Yes,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Accredited,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Yes,No,2025
OC8517,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Accredited,Yes,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes, invalid address," city is required"""" message.""",2025
MH1712,14_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Neutral,50,Yes,Not Discussed,No,Accredited,Yes,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Yes,No,2025
UB3891,pre_renewal,Not Discussed,Not Discussed,Yes,No,No,Yes,Neutral,50,No,Yes,No,Not Discussed,No,No,0,Not Discussed,No,0,Not Discussed,No,No,Yes,Yes,No,2025
UK7542,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,20,No,Yes,No,Not Discussed,Yes,No,0,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Yes,No,2025
IT7422,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,30,Yes,Yes,No,Accredited,No,Yes,1,Not Discussed,Yes,0,No,No,No,Yes," which led to a last-minute and urgent request to resolve the payment.""",Yes,2025
LP4359,prior_year,Yes,No,Yes,Yes,No,Yes,Neutral,50,No,Yes,No,Accredited,No,Yes,3,Not Discussed,Yes,0,No,No,No,Yes,Yes,Yes,2025
PS0030,45_out,No,Not Discussed,Not Discussed,Yes,No,Yes,Neutral,50,Yes,Not Discussed,No,Accredited,No,Yes,4,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,Yes,2025
DQ7465,14_out,No,Not Discussed,Yes,No,No,Yes,Neutral,50,No,Not Discussed,No,Accredited,Not Discussed,Yes,1,Not Discussed,No,0,Yes,No,No,Yes,Yes,Yes,2025
ID6919,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,20,No,Not Discussed,No,Accredited,Yes,No,0,Not Discussed,No,0,Yes,No,No,Yes,Yes,Yes,2026
ZB4258,prior_year,No,No,No,Yes,Not Discussed,Yes,Neutral,50,No,Yes,No,Accredited,No,Yes,7,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,Yes,2025
IL3220,prior_year,No,No,Yes,Yes,No,Yes,Neutral,50,Yes,Yes,No,Accredited,No,Yes,9,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,Yes,2025
TU4738,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,20,Yes,Not Discussed,No,Accredited,No,No,0,Not Discussed,No,0,Yes,No,No,Yes,Yes,Yes,2025
UE6993,prior_year,Yes,Yes,Yes,No,No,Yes,Neutral,50,Yes,Yes,No,Accredited,No,Yes,1,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,Yes,2025
ZB8005,14_out,Yes,Not Discussed,Not Discussed,No,No,Yes,Satisfied,80,No,Yes,No,Accredited,No,No,0,Not Discussed,No,0,Not Discussed,No,No,Yes,Yes,Yes,2026
IJ7206,prior_year,No,No,Yes,Yes,No,Yes,Neutral,50,No,Yes,No,Accredited,No,Yes,9,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,Yes,2025
MR5388,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,Yes,Not Discussed,No,Accredited,Yes,Yes,3,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,Yes,2025
WU9480,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,Yes,Not Discussed,Yes,Accredited,No,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Yes,Yes,2025
CG3620,45_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Neutral,50,Yes,Yes,Yes,Accredited,No,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Yes,Yes,2025
HE1438,45_out,Yes,Yes,Yes,No,No,Yes,Dissatisfied,40,Yes,Not Discussed,Yes,Accredited,Yes,Yes,2,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Yes,Yes,2025
JU4562,prior_year,No,No,No,Yes,Yes,Yes,Dissatisfied,20,Yes,Yes,No,Accredited,No,Yes,6,Not Discussed,Yes,0,No,No,No,Yes,Yes,Yes,2025
CN8899,45_out,Not Discussed,Not Discussed,Yes,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Accredited,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Yes,Yes,2025
WP7827,pre_renewal,Not Discussed,Not Discussed,Not Discussed,Yes,No,No,Not Discussed,Not Discussed,No,Not Discussed,No,Accredited,No,No,0,Not Discussed,Not Discussed,0,No,No,No,Yes,Yes,Yes,2025
CO7881,14_out,No,Not Discussed,Yes,No,No,Yes,Neutral,50,Yes,Not Discussed,No,In progress,No,Yes,1,Not Discussed,No,0,Yes,No,No,Yes,Yes,Yes,2025
OZ6540,14_out,Not Discussed,Not Discussed,Not Discussed,Yes,No,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Yes,Yes,2025
YX9724,prior_year,No,Not Discussed,No,No,No,No,Not Discussed,Not Discussed,No,Not Discussed,No,In progress,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Yes,Yes,2026
BD7858,45_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Yes,Yes,2025
ME1003,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Yes,Yes,2025
DP2625,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Not Discussed,Yes,Yes,3,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Yes,Yes,2025
RB6415,45_out,No,No,Yes,Yes,No,Yes,Neutral,50,Yes,Not Discussed,No,In progress,No,Yes,2,Not Discussed,No,0,Yes,No,No,Yes,Yes,Yes,2025
SB3340,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,No,Not Discussed,No,Not Discussed,No,Yes,1,Not Discussed,Yes,0,Yes,No,No,Yes,Yes,Yes,2025
LA1856,14_out,Not Discussed,Not Discussed,Yes,No,No,Yes,Satisfied,100,No,Not Discussed,No,Not Discussed,No,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
DM5622,prior_year,No,No,Yes,Yes,No,Yes,Satisfied,80,Yes,Yes,No,Accredited,No,Yes,3,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Not Discussed,Yes,2025
HI2015,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,20,No,No,No,Not Discussed,No,Yes,1,Not Discussed,Yes,0,No,No,No,Yes,Not Discussed,Yes,2026
YD4355,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Satisfied,100,No,Yes,No,Accredited,No,No,0,No,No,0,No,No,No,Yes,Not Discussed,Yes,2025
LS7557,pre_renewal,Not Discussed,Not Discussed,Not Discussed,Yes,No,Yes,Dissatisfied,20,No,No,No,Not Discussed,No,Yes,1,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
KO6825,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,30,No,Not Discussed,No,Not Discussed,No,No,0,Not Discussed,No,0,Yes,No,No,Yes,Not Discussed,Yes,2025
RL8707,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,No,Not Discussed,No,Not Discussed,No,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Not Discussed,Yes,2025
VP1463,prior_year,Yes,Yes,Not Discussed,Yes,No,Yes,Dissatisfied,40,No,Yes,No,Accredited,No,Yes,4,Not Discussed,Yes,0,No,No,No,Yes,Not Discussed,Yes,2025
PM5813,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,40,Yes,Not Discussed,No,Accredited,No,No,0,Not Discussed,No,0,Yes,No,No,Yes,Not Discussed,Yes,2025
CQ5222,pre_renewal,Yes,Not Discussed,Not Discussed,No,No,Yes,Dissatisfied,30,No,Yes,No,Accredited,No,Yes,1,Not Discussed,No,0,Yes,No,No,Yes,Not Discussed,Yes,2026
WM0013,pre_renewal,Yes,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Accredited,Not Discussed,Yes,1,Not Discussed,Yes,0,Yes,No,No,Yes,Not Discussed,Yes,2025
AU0410,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Not Discussed,No,Yes,1,Not Discussed,No,0,Yes,No,No,Yes,Not Discussed,Yes,2025
QZ1925,prior_year,Not Discussed,Not Discussed,Not Discussed,Yes,No,Yes,Neutral,50,No,No,No,Accredited,No,Yes,5,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
YR7955,pre_renewal,No,Not Discussed,No,Yes,No,Yes,Neutral,50,No,Not Discussed,No,In progress,No,No,0,Not Discussed,Not Discussed,0,Yes,No,No,Yes,Not Discussed,Yes,2025
CT0279,prior_year,No,No,Yes,Yes,No,Yes,Neutral,50,Yes,Not Discussed,No,In progress,No,Yes,7,Not Discussed,Not Discussed,0,No,No,No,Yes,Not Discussed,Yes,2025
SJ7759,14_out,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Not Discussed,No,Not Discussed,No,No,0,Not Discussed,Not Discussed,0,No,No,No,Yes,Not Discussed,Yes,2025
SG6675,prior_year,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Not Discussed,Yes,Not Discussed,No,Yes,3,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
PI0651,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,Yes,Neutral,50,Yes,Not Discussed,No,Accredited,No,Yes,3,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
SJ6943,pre_renewal,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,Yes,Neutral,50,No,Yes,No,Not Discussed,No,No,0,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
WH1328,pre_renewal,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Yes,Neutral,50,No,Yes,No,Not Discussed,No,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
FG5752,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,No,Yes,Neutral,50,No,Yes,No,Accredited,No,Yes,1,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
KG5766,prior_year,No,No,Yes,Yes,No,Yes,Neutral,50,No,Yes,No,In progress,No,Yes,4,Not Discussed,Yes,0,No,No,No,Yes,Not Discussed,Yes,2025
QA6710,prior_year,No,No,No,Yes,No,Yes,Neutral,50,Yes,Yes,No,Accredited,No,Yes,5,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
RK1595,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,No,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
ZF6090,45_out,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
CW2231,14_out,Not Discussed,Not Discussed,Not Discussed,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,0,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
DX9231,pre_renewal,Not Discussed,Not Discussed,Not Discussed,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,No,No,Not Discussed,Not Discussed,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
KH9181,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
HA3322,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
YB8677,prior_year,Not Discussed,Not Discussed,Not Discussed,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2026
ZS2692,14_out,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,Yes,2,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
IC5614,14_out,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
JH2045,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
XV3030,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
YS2338,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,Yes,1,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
ZT2165,14_out,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
KU3716,45_out,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,No,Yes,1,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
BB9666,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,Yes,2,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
OI6842,pre_renewal,No,Not Discussed,No,Yes,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
GA1869,14_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,Not Discussed,Not Discussed,Not Discussed,No,0,Not Discussed,Yes,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
OI1690,pre_renewal,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,No,No,Not Discussed,No,Yes,3,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
SJ9858,14_out,Not Discussed,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,Not Discussed,No,Not Discussed,No,Not Discussed,No,No,0,Not Discussed,Not Discussed,0,Not Discussed,No,No,Yes,Not Discussed,Yes,2025
